rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
198,BSth,8,4–4 4–4,106.9 109,110.9 289,.3964 198,55.0 29,51.8 183,19.6 224,12.9 348,32.2 64,23.1 32,23.2 319,34.2 180,56.2 15,49.0 109,36.0 111,37.4 252,54.9 2,40.6 233,72.5 29,-2.2 165,Winthrop,,,2019,C,A-N
199,Sum,8,4–4 4–4,107.0 108,111.0 290,.3950 199,55.6 21,56.9 326,15.9 36,16.7 224,20.8 328,26.8 132,23.2 319,21.0 2,57.6 9,53.2 258,35.4 134,41.3 331,45.7 32,41.8 253,71.9 40,-2.3 169,Purdue Fort Wayne,,,2019,C,A-N
200,CUSA,9,3–6 3–6,104.8 147,108.7 267,.3947 200,48.9 221,53.9 260,16.5 59,15.5 294,27.1 197,24.6 65,23.4 313,32.4 144,46.4 270,53.8 280,34.8 152,36.1 212,43.5 64,43.3 293,73.1 24,-3.2 220,UTSA,,,2019,C,A-N
201,MEAC,8,8–0 8–0,103.4 172,107.3 233,.3946 201,51.3 127,46.7 28,18.6 176,21.8 26,30.8 85,32.8 317,34.6 94,36.8 234,45.3 304,49.6 127,42.2 8,29.0 14,33.3 293,47.7 337,69.6 112,+0.50 48,Howard,,,2019,C,A-N
202,Pat,9,4–5 4–5,107.4 100,111.6 298,.3934 202,53.9 48,58.0 339,16.8 72,20.0 70,26.4 220,27.9 172,29.7 198,34.8 193,55.7 19,60.9 351,33.9 185,35.5 190,35.3 252,37.7 149,67.6 203,-3.1 217,Boston University,,,2019,C,A-N
203,NEC,9,5–4 5–4,99.7 241,103.6 158,.3906 203,52.4 85,48.6 64,20.0 241,22.4 18,28.7 146,31.9 298,30.7 167,28.5 62,50.3 131,51.0 177,38.2 50,29.9 29,30.5 327,39.0 184,67.8 194,-3.0 213,Fairleigh Dickinson,16,R64,2019,C,A-N
204,BSky,10,4–6 4–6,107.3 103,111.6 299,.3881 204,53.2 62,54.8 282,14.1 8,15.5 294,24.0 280,24.6 65,30.6 169,27.0 39,50.1 143,56.8 325,38.3 49,34.9 169,41.9 92,44.8 316,69.9 99,-4.4 279,Montana St.,,,2019,C,A-N
205,AE,8,6–2 6–2,91.4 330,95.2 39,.3864 205,45.6 312,44.4 11,20.4 263,19.1 105,31.2 76,24.0 50,27.4 251,27.9 56,46.8 255,44.6 19,29.1 321,29.5 20,37.8 188,49.2 345,69.6 112,-0.7 99,Stony Brook,,,2019,C,A-N
206,MVC,9,3–6 3–6,98.5 262,102.5 140,.3858 206,48.9 221,50.8 136,20.4 263,17.1 202,24.1 275,25.2 83,27.2 257,32.1 137,50.2 136,51.0 177,30.9 281,33.7 108,31.7 316,37.9 156,65.5 305,-3.4 231,Valparaiso,,,2019,C,A-N
207,ASun,8,3–5 3–5,98.4 263,102.9 142,.3759 207,51.8 107,50.6 127,20.8 277,18.6 125,27.5 180,25.0 79,26.3 274,30.9 112,51.2 107,50.2 140,35.3 140,34.2 136,34.0 282,38.8 177,73.2 19,-3.0 211,Jacksonville,,,2019,C,A-N
